Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
4855,1,1.0,41.39383967632886,21.689185402367148,10.0,4,22.0,2007,0.025609157,B,B,33,5261,0,240.0,3,1,B
11649,61,1.0,32.02330094586077,18.946134663306,6.0,1,9.0,1978,0.300322518,B,B,52,10311,6,1156.141153081511,1,9,B
5994,52,1.0,34.49935846002646,19.056583344847954,5.0,4,4.0,1961,0.371148999,B,B,34,7065,1,750.0,2,5,B
8958,90,2.0,47.8387153232521,33.36032165299808,5.0,5,5.0,1967,0.265088676,B,B,37,5288,0,1937.0,3,2,B
3681,111,3.0,79.434938829636,53.210317202662814,8.0,6,12.0,1987,0.093442564,B,B,23,4635,5,3300.0,2,4,B
1440,29,2.0,45.52167884587328,26.473375407902218,5.0,7,5.0,1964,0.069660344,B,B,31,6119,4,1156.141153081511,1,2,B
13229,88,1.0,37.6175118205191,19.766226343775102,6.0,4,9.0,1973,0.127375905,B,B,43,8429,3,1156.141153081511,3,9,B
16333,189,2.0,43.58408513923511,30.817063189231504,5.0,2,9.0,1969,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
10164,58,4.0,94.9973324343706,57.01740233636862,9.0,6,9.0,2010,0.31019913,B,B,11,2748,1,1156.141153081511,0,0,B
4079,75,2.0,45.14419572295914,25.81955323502757,5.0,5,5.0,1962,0.307466659,B,A,30,5048,9,325.0,2,5,B
15337,129,2.0,38.85990570440257,26.977272121511035,7.0,9,9.0,1963,0.020741326,B,B,24,5613,5,1340.0,2,5,B
8146,1,3.0,82.2888123570291,37.29680817299057,1.0,16,17.0,1977,0.007122317,B,B,1,264,0,1156.141153081511,0,1,B
9535,1,1.0,48.46091242243136,37.29680817299057,0.0,13,0.0,1977,0.007122317,B,B,1,264,0,1156.141153081511,0,1,B
2410,99,2.0,46.84290607335274,31.91581332412824,5.0,5,5.0,1968,0.033493708,B,B,66,10573,1,1322.0,3,8,B
7382,52,2.0,64.32024301013595,68.14469840571351,10.0,9,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
10462,1,1.0,41.23796911663741,37.29680817299057,0.0,7,17.0,1977,0.007122317,B,B,1,264,0,1156.141153081511,0,1,B
5812,128,3.0,77.62273926172533,47.97443435877042,10.0,10,17.0,1992,0.0,B,B,27,4798,0,30.0,2,8,B
6529,85,3.0,56.33888054006959,34.654013591392456,6.0,5,9.0,1978,0.037177818,B,B,52,11217,1,2300.0,1,7,B
7701,23,2.0,50.89174095036861,46.92430071992332,0.0,3,3.0,2017,0.034656082,B,B,0,168,0,1156.141153081511,0,0,B
555,7,4.0,74.9597581751952,74.03072342454782,6.0,5,16.0,1972,0.130617806,B,B,39,10418,9,900.0,1,9,B
6591,9,2.0,52.30709406664636,29.286768553857737,7.0,2,9.0,1970,0.31019913,B,B,11,2748,1,1156.141153081511,0,0,B
3037,156,2.0,57.66976927251718,31.956946138477868,11.0,17,16.0,1981,0.007658515,B,B,35,7077,56,2301.0,3,19,B
10574,23,3.0,66.47191800762235,64.60692391242944,1.0,5,1.0,2017,0.034656082,B,B,0,168,0,1156.141153081511,0,0,B
10359,46,2.0,45.32893674924416,29.148969745306143,6.0,6,9.0,1970,0.0,B,B,47,11319,0,1145.0,3,5,B
7510,44,2.0,54.39922301983204,32.995435802809595,8.0,18,16.0,1985,0.122190486,B,B,25,4724,2,1308.0,1,3,B
16071,1,2.0,64.94598971204098,37.29680817299057,1.0,20,20.0,1977,0.007122317,B,B,1,264,0,1156.141153081511,0,1,B
5484,88,1.0,41.49390098645369,37.29680817299057,1.0,18,17.0,1977,0.127375905,B,B,43,8429,3,1156.141153081511,3,9,B
10950,42,2.0,55.89831490068351,31.37936501394752,9.0,12,14.0,2007,0.158249043,B,B,21,5731,0,1156.141153081511,1,0,B
9564,96,1.0,41.47248149427757,23.16199005206589,8.0,12,17.0,1996,0.041116354,B,B,53,14892,4,1156.141153081511,1,4,B
11342,27,1.0,38.69279795114794,39.60887148178522,8.0,16,17.0,1977,0.011654127,B,B,4,915,0,1156.141153081511,0,0,B
